Pair 1,Pair 2,Pair 3,id,zappos,picUrl,productUrl,dateAdded,title,brand,style,waist_size,length_size,material,color,waist,front_rise,back_rise,hips,inseam,thigh,knee,outseam,cuff,country_of_origin,their_description_of_fit,their_description_of_leg,their_description_of_sit,rn,other1,other2,other3,other4,measurer,date_measured,source
,,,45,FALSE,http://www.mrporter.com/images/products/300947/300947_mrp_in_m2.jpg,http://www.mrporter.com/product/300947,6/11/11 2:45,Slim Fit Chinos,Incotex,None,58,None,None,None,39.5,10,None,None,None,None,None,None,7.75,None,None,None,None,None,None,None,None,None,None,None,None
a,,,46,FALSE,http://www.mrporter.com/images/products/300947/300947_mrp_in_m2.jpg,http://www.mrporter.com/product/300947,6/11/11 2:45,Slim Fit Chinos,Incotex,None,60,None,None,None,40,10,None,None,None,None,None,None,7.75,None,None,None,None,None,None,None,None,None,None,None,None
,,,47,FALSE,http://www.mrporter.com/images/products/300947/300947_mrp_in_m2.jpg,http://www.mrporter.com/product/300947,6/11/11 2:45,Slim Fit Chinos,Incotex,None,62,None,None,None,41.5,10.5,None,None,None,None,None,None,7.75,None,None,None,None,None,None,None,None,None,None,None,None
b,,,48,FALSE,http://www.mrporter.com/images/products/303125/303125_mrp_in_m2.jpg,http://www.mrporter.com/product/303125,6/11/11 2:45,Straight Leg White Jeans,Polo Ralph Lauren,None,30,32,None,None,None,11,None,None,32,None,None,41.5,8.25,None,None,None,None,None,None,None,None,None,None,None,None
,,,49,FALSE,http://www.mrporter.com/images/products/303125/303125_mrp_in_m2.jpg,http://www.mrporter.com/product/303125,6/11/11 2:45,Straight Leg White Jeans,Polo Ralph Lauren,None,32,32,None,None,None,11.5,None,None,32.5,None,None,42,8.25,None,None,None,None,None,None,None,None,None,None,None,None
,,,50,FALSE,http://www.mrporter.com/images/products/303125/303125_mrp_in_m2.jpg,http://www.mrporter.com/product/303125,6/11/11 2:45,Straight Leg White Jeans,Polo Ralph Lauren,None,34,32,None,None,None,12,None,None,32.5,None,None,42.5,8.75,None,None,None,None,None,None,None,None,None,None,None,None
,,,51,FALSE,http://www.mrporter.com/images/products/303125/303125_mrp_in_m2.jpg,http://www.mrporter.com/product/303125,6/11/11 2:45,Straight Leg White Jeans,Polo Ralph Lauren,None,36,32,None,None,None,12,None,None,32.5,None,None,43,9,None,None,None,None,None,None,None,None,None,None,None,None
,,,52,FALSE,http://www.mrporter.com/images/products/303125/303125_mrp_in_m2.jpg,http://www.mrporter.com/product/303125,6/11/11 2:45,Straight Leg White Jeans,Polo Ralph Lauren,None,38,32,None,None,None,12.5,None,None,32.5,None,None,43.5,9,None,None,None,None,None,None,None,None,None,None,None,None
c,,,53,FALSE,http://www.mrporter.com/images/products/162326/162326_mrp_in_m2.jpg,http://www.mrporter.com/product/162326,6/11/11 2:45,Velvet Suit Trousers,Richard James,None,32,None,None,None,32.5,10,None,None,38,None,None,48,8.75,None,None,None,None,None,None,None,None,None,None,None,None
,,,54,FALSE,http://www.mrporter.com/images/products/162326/162326_mrp_in_m2.jpg,http://www.mrporter.com/product/162326,6/11/11 2:45,Velvet Suit Trousers,Richard James,None,33,None,None,None,34,10,None,None,38,None,None,48.5,8.75,None,None,None,None,None,None,None,None,None,None,None,None
,,,55,FALSE,http://www.mrporter.com/images/products/162326/162326_mrp_in_m2.jpg,http://www.mrporter.com/product/162326,6/11/11 2:45,Velvet Suit Trousers,Richard James,None,34,None,None,None,35.5,10.5,None,None,38,None,None,49,9,None,None,None,None,None,None,None,None,None,None,None,None
,,,56,FALSE,http://www.mrporter.com/images/products/162326/162326_mrp_in_m2.jpg,http://www.mrporter.com/product/162326,6/11/11 2:45,Velvet Suit Trousers,Richard James,None,35,None,None,None,38,11,None,None,38,None,None,49,9,None,None,None,None,None,None,None,None,None,None,None,None
c,,,57,FALSE,http://www.mrporter.com/images/products/162327/162327_mrp_in_m2.jpg,http://www.mrporter.com/product/162327,6/11/11 2:45,Straight Leg Wool Blend Trousers,Richard James,None,32,None,None,None,32.5,10,None,None,38,None,None,48,8.75,None,None,None,None,None,None,None,None,None,None,None,None
,,,58,FALSE,http://www.mrporter.com/images/products/162327/162327_mrp_in_m2.jpg,http://www.mrporter.com/product/162327,6/11/11 2:45,Straight Leg Wool Blend Trousers,Richard James,None,34,None,None,None,34.5,10,None,None,38,None,None,48,8.75,None,None,None,None,None,None,None,None,None,None,None,None
,,,59,FALSE,http://www.mrporter.com/images/products/162327/162327_mrp_in_m2.jpg,http://www.mrporter.com/product/162327,6/11/11 2:45,Straight Leg Wool Blend Trousers,Richard James,None,36,None,None,None,36,10,None,None,38,None,None,48.5,9,None,None,None,None,None,None,None,None,None,None,None,None
,,,60,FALSE,http://www.mrporter.com/images/products/162327/162327_mrp_in_m2.jpg,http://www.mrporter.com/product/162327,6/11/11 2:45,Straight Leg Wool Blend Trousers,Richard James,None,38,None,None,None,38,10.5,None,None,38,None,None,49,9,None,None,None,None,None,None,None,None,None,None,None,None
d,,,61,FALSE,http://www.mrporter.com/images/products/301851/301851_mrp_in_m2.jpg,http://www.mrporter.com/product/301851,6/11/11 2:45,Ludlow Wool Suit Trousers,J.Crew,None,30,32,None,None,None,10,None,None,None,None,None,None,7.75,None,None,None,None,None,None,None,None,None,None,None,None
,,,62,FALSE,http://www.mrporter.com/images/products/301851/301851_mrp_in_m2.jpg,http://www.mrporter.com/product/301851,6/11/11 2:45,Ludlow Wool Suit Trousers,J.Crew,None,31,32,None,None,None,10.5,None,None,None,None,None,None,7.75,None,None,None,None,None,None,None,None,None,None,None,None
e,,,63,FALSE,http://www.mrporter.com/images/products/301851/301851_mrp_in_m2.jpg,http://www.mrporter.com/product/301851,6/11/11 2:45,Ludlow Wool Suit Trousers,J.Crew,None,32,32,None,None,None,10.5,None,None,None,None,None,None,7.75,None,None,None,None,None,None,None,None,None,None,None,None
b,,,64,FALSE,http://www.mrporter.com/images/products/301851/301851_mrp_in_m2.jpg,http://www.mrporter.com/product/301851,6/11/11 2:45,Ludlow Wool Suit Trousers,J.Crew,None,33,32,None,None,None,11,None,None,None,None,None,None,8.25,None,None,None,None,None,None,None,None,None,None,None,None
b,,,65,FALSE,http://www.mrporter.com/images/products/301851/301851_mrp_in_m2.jpg,http://www.mrporter.com/product/301851,6/11/11 2:45,Ludlow Wool Suit Trousers,J.Crew,None,34,32,None,None,None,11,None,None,None,None,None,None,8.25,None,None,None,None,None,None,None,None,None,None,None,None
b,,,66,FALSE,http://www.mrporter.com/images/products/301851/301851_mrp_in_m2.jpg,http://www.mrporter.com/product/301851,6/11/11 2:45,Ludlow Wool Suit Trousers,J.Crew,None,33,34,None,None,None,11,None,None,None,None,None,None,8.25,None,None,None,None,None,None,None,None,None,None,None,None
b,,,67,FALSE,http://www.mrporter.com/images/products/301851/301851_mrp_in_m2.jpg,http://www.mrporter.com/product/301851,6/11/11 2:45,Ludlow Wool Suit Trousers,J.Crew,None,34,34,None,None,None,11,None,None,None,None,None,None,8.25,None,None,None,None,None,None,None,None,None,None,None,None
,,,68,FALSE,http://www.mrporter.com/images/products/301851/301851_mrp_in_m2.jpg,http://www.mrporter.com/product/301851,6/11/11 2:45,Ludlow Wool Suit Trousers,J.Crew,None,36,34,None,None,None,11.5,None,None,None,None,None,None,8.75,None,None,None,None,None,None,None,None,None,None,None,None
,,,69,FALSE,http://www.mrporter.com/images/products/300956/300956_mrp_in_m2.jpg,http://www.mrporter.com/product/300956,6/11/11 2:45,Slim Light Chinos,Incotex,None,30,32,None,None,30,8.5,None,None,31.5,None,None,39,6.75,None,None,None,None,None,None,None,None,None,None,None,None
,,,70,FALSE,http://www.mrporter.com/images/products/300956/300956_mrp_in_m2.jpg,http://www.mrporter.com/product/300956,6/11/11 2:45,Slim Light Chinos,Incotex,None,31,32,None,None,30.5,8.5,None,None,32,None,None,39.5,6.75,None,None,None,None,None,None,None,None,None,None,None,None
,,,71,FALSE,http://www.mrporter.com/images/products/300956/300956_mrp_in_m2.jpg,http://www.mrporter.com/product/300956,6/11/11 2:45,Slim Light Chinos,Incotex,None,32,32,None,None,31.5,8.5,None,None,33,None,None,40.5,6.75,None,None,None,None,None,None,None,None,None,None,None,None
,,,72,FALSE,http://www.mrporter.com/images/products/300956/300956_mrp_in_m2.jpg,http://www.mrporter.com/product/300956,6/11/11 2:45,Slim Light Chinos,Incotex,None,33,32,None,None,32.5,9,None,None,33,None,None,41,6.75,None,None,None,None,None,None,None,None,None,None,None,None
,,,73,FALSE,http://www.mrporter.com/images/products/300956/300956_mrp_in_m2.jpg,http://www.mrporter.com/product/300956,6/11/11 2:45,Slim Light Chinos,Incotex,None,34,32,None,None,33,9,None,None,33.5,None,None,41,6.75,None,None,None,None,None,None,None,None,None,None,None,None
,,,74,FALSE,http://www.mrporter.com/images/products/300956/300956_mrp_in_m2.jpg,http://www.mrporter.com/product/300956,6/11/11 2:45,Slim Light Chinos,Incotex,None,35,32,None,None,34,9.5,None,None,33.5,None,None,41.5,7,None,None,None,None,None,None,None,None,None,None,None,None
,,,75,FALSE,http://www.mrporter.com/images/products/300956/300956_mrp_in_m2.jpg,http://www.mrporter.com/product/300956,6/11/11 2:45,Slim Light Chinos,Incotex,None,36,32,None,None,34.5,9.5,None,None,34,None,None,41.5,7,None,None,None,None,None,None,None,None,None,None,None,None
,,,76,FALSE,http://www.mrporter.com/images/products/300956/300956_mrp_in_m2.jpg,http://www.mrporter.com/product/300956,6/11/11 2:45,Slim Light Chinos,Incotex,None,38,32,None,None,36,9.5,None,None,34,None,None,42,7.5,None,None,None,None,None,None,None,None,None,None,None,None
